priority	classification	n	py	pn	ppy
1	novel, supported	148	119316.33401779603	0.07939914163090128	0.1635287161487499
2	novel, unsup	429	232167.0253251198	0.23015021459227467	0.3181959611483581
3	repurposing	612	131216.43531827515	0.3283261802575107	0.17983837151762144
4	combination	116	23502.354551676934	0.06223175965665236	0.032211095806339705
5	metoo	240	95370.09993155373	0.12875536480686695	0.13070926230820046
6	pre-approval	56	32898.74332648871	0.030042918454935622	0.045089293962765745
7	post-approval	263	95164.36960985627	0.14109442060085836	0.1304272991079647
